"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","sim_lfblade_area","sim_lfblade_weight","sim_lfblade_width","sim_lfblade_length","stag_lfblade_area","stag_lfblade_weight","stag_lfblade_width","stag_lfblade_length","sim_SLA","stag_SLA","sim_gN.m2","stag_gN.m2","sim_gC.m2","stag_gC.m2","sim_CN_ratio","stag_CN_ratio","sim_d13C","stag_d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","branch_number_cbrt","leaf_number","panicle_number","panicle_length","tiller_height","tiller_number"
364,"DN13",2013,"thick","31",31050,"RIL_127","null",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.63012001838702,NA,23.0435682273769,NA,14.6811115540404,NA,-13.1100300138143,40.6544840828941,2.02807957992142,0.753765337844994,1.29174100935468,0.733767986872171,2.84468718592196,0.394260174495383,0.259434152281502,377.398542619284,0.906216233136356,11.6037504563081,2.19017848193945,110.321267321438,299.502723400389,1.87450496300416
365,"DN13",2013,"thick","31",31051,"RIL_159","null",NA,NA,NA,NA,24.7199830960691,0.107717742979032,19.6904796556556,258.508974412885,NA,238.647982808923,NA,1.53995058405831,NA,22.1291702173768,NA,14.8776318441448,NA,-12.6508861767198,46.8683661695153,2.55548757348105,0.908305945999,1.64579568816238,1.16028011780418,3.86082534115843,0.470619243523311,0.232077670355389,446.462204151951,0.621813676876012,17.4736301125349,2.68971831049172,121.623252730596,347.410092208482,2.21473613393045
366,"DN13",2013,"thick","31",31052,"RIL_100","null",20.0614811721891,0.0722082495663334,17.4655193509295,224.361209977507,17.6228698414502,0.0746009834538322,17.9813708058427,197.467844474012,267.136635685007,241.692647543668,1.40668597483229,1.483815656473,21.2824003915235,20.7785810516348,16.2060978968158,15.0155846738366,-13.2050860187829,-12.9801224220769,48.3159642753675,2.15314577421059,0.808723434729731,1.36186408835074,1.01814225200689,3.31001669064414,0.481457662693916,0.239036912138337,486.766138483355,0.622301169963997,10.1898053540931,1.36876285007695,141.580426678983,339.938250180805,1.57864107934993
367,"DN13",2013,"thick","31",31053,"RIL_109","null",11.2065757452949,0.0461846066668185,18.3767844006428,142.599737153484,NA,NA,NA,NA,251.321448963314,NA,1.3543831951994,1.48738117246717,21.3546672685525,22.0125578411685,16.0269371078229,15.3717898459339,-12.972153374788,-13.1100300138143,40.4130248322999,1.853360141177,0.521233631217487,1.30631689581571,0.908060925907488,2.82570905995096,0.496711571208913,0.186608727986238,440.363335934041,1.53245236444966,16.7721745404026,7.43661046072144,72.8109358064677,NA,1.6968245199699
368,"DN13",2013,"thick","31",31054,"RIL_082","null",11.1377772950973,0.0458754155633582,16.5736313152978,142.292913697377,12.843048945397,0.0615491131484716,16.0828283768602,152.978408066185,253.806362624793,228.550493038754,1.42120578694831,1.5680414482095,21.0337186184443,22.3023076579324,15.709269161611,15.4687168863807,-12.922168267759,-13.0271084610283,40.6544840828941,1.74275329535658,0.560544254043873,1.17351760147099,0.332196469090492,2.13324389404353,0.2789179256127,0.262608761356755,341.38407210296,1.50082609582573,19.3338280967701,7.22022528668174,61.4543190401182,199.230960716762,2.37447621245953
369,"DN13",2013,"thick","31",31055,"RIL_179","null",10.0070243013252,0.041313639615349,17.1588871949273,136.845585081906,11.5440442002624,0.0477953235964279,21.0439956006053,149.674778005023,254.381290081129,244.124863537041,1.26033658465734,1.56665034821517,19.7243411484177,21.821477006963,16.309582589433,15.4799713461954,-13.1015277669476,-13.2178280324362,37.9984323263576,1.32754447747361,0.374548247345305,0.942112164084171,0.729948134696465,2.0536034941552,0.527254226106538,0.188115008425784,327.271790293007,1.74050681966141,16.4327055680413,9.9343788542948,77.2433600380976,234.572333921087,1.81960500684862
370,"DN13",2013,"thick","31",31056,"RIL_116","null",11.0068103695593,0.0481270406150094,16.2135377245322,131.565591037067,13.2244183551574,0.0602804551085027,19.1264999731622,141.483561856559,242.678225660039,232.119139938278,1.36505428118856,1.56534306662693,20.8687865925297,22.5003228532343,16.0951117826713,14.976553089936,-13.1230377362767,-12.9570616507668,38.9103477379615,1.40483947491487,0.458696498017302,0.941813776150011,0.509258525704141,1.93586517994466,0.408655468867622,0.240466457432462,283.900320513124,1.51555204514458,16.0426558698805,4.84946917345206,60.9855620838675,184.725826811101,1.81287338604547
371,"DN13",2013,"thick","31",31057,"RIL_125","null",11.5622431269746,0.0377175516457331,18.2121167487599,156.576878200497,NA,NA,NA,NA,310.244181162129,NA,1.12822643018217,1.6033124799544,18.4218212419942,22.6181707535547,16.7028740834739,14.5761376593641,-12.8363080426839,-13.1240664547925,43.6851587968938,1.66697837120354,0.649439443441491,1.03365652778193,0.615780002981404,2.37163415679083,0.4338220619564,0.280819056147965,288.863369000896,1.14589735924003,15.3344559031101,3.22496625671266,89.2422090634059,169.629492069416,2.0237748160453
372,"DN13",2013,"thick","31",31058,"RIL_203","null",13.4091274172372,0.0495337480677596,16.9114639243066,164.191710618903,NA,NA,NA,NA,265.873266806627,NA,1.26912090401767,1.54649841259681,19.7344817012342,21.9468916700818,16.3211827778916,14.8609233044382,-12.8572793281655,-13.1041981993073,40.3775497903465,1.39883286362727,0.464455127664372,0.931946607738071,0.412066227094817,1.82057743046578,0.354583020413766,0.256444209326632,323.313560300323,1.20471487942947,18.3294144234016,4.48471256447468,84.6759169892792,217.589498775291,1.84574033117883
373,"DN13",2013,"thick","31",31059,"RIL_175","null",NA,NA,NA,NA,13.4724207018904,0.054459659137602,16.7350830030095,148.460419623889,NA,247.721700288498,NA,1.54687511260876,NA,22.1538643789279,NA,14.8159820122376,NA,-13.0148636397014,37.1087908847497,1.69680996904503,0.426392275930235,1.22056193195605,0.527627757590568,2.25174004475393,0.363857354773876,0.19987995293166,341.275304400114,1.47531087162587,20.5680760218337,4.63259421842084,108.47421139214,215.230998143698,1.80844662371761
