"Obs","experiment","year","treatment","plot","subplot_id","genotype","sampling","lfblade_area","lfblade_length","lfblade_width","lfblade_weight","SLA","gN.m2","gC.m2","CN_ratio","d13C","panicle_emergence_DAS","vegetative_mass_at_harvest","leaf_mass_at_harvest","stem_mass_at_harvest","panicle_mass_at_harvest","total_mass_at_harvest","reproductive_vegetative_mass_ratio","leaf_mass_ratio","culm_height","branch_number_cbrt","tiller_height","tiller_number","basal_circumference"
37,"DN14",2014,"sparse","32",32037,"RIL_189","null",13.2433989724546,164.497864750679,16.950718964239,0.0524563291309162,257.399788140094,1.98164314796319,20.327152852177,10.9849577619889,-12.4308654140923,37.0187294317819,9.44472075626507,2.41731283539114,6.93305929255051,7.64546893503283,18.0303218760092,0.932686399949414,0.136497401207872,535.205285077768,2.54011459938164,389.17843353997,4.52202330159155,40.9748932394215
38,"DN14",2014,"sparse","32",32038,"RIL_135","null",8.64614110033263,116.935696985369,15.2566399973489,0.0348957124285283,273.696161319235,2.17365834147592,21.058833586755,9.57961253689597,-12.3955961411133,38.466100741907,4.99550284857623,1.4808830247106,3.29976923523156,6.60417573032358,11.8799389835932,1.30364166403427,0.138547785554287,284.127017177023,2.6625080650463,267.359594409567,8.60605433459968,41.7471474391608
39,"DN14",2014,"sparse","32",32039,"RIL_062","null",18.6183200680329,176.291616738049,22.5336583079167,0.0737899640349129,253.942109349058,2.1333076585925,20.6183899789189,9.81286195720402,-12.4465801897617,39.0546163687383,9.92360836385091,3.06290682577957,6.83939671555712,18.2746689461476,27.6403152058845,1.78620871095592,0.109666377724424,490.410394725753,2.14272986469591,425.276423972335,5.79353850984763,45.2434461423645
40,"DN14",2014,"sparse","32",32040,"RIL_044","null",14.4411622461667,169.407334411309,18.0173086542194,0.0633870768613678,239.507422121062,2.14347162647593,21.1469688688174,10.0758099277375,-12.2191410329256,38.3647232207335,5.29265367933189,1.77646429107551,3.39899458551255,8.17702576812895,13.8977490329941,1.72800850653636,0.125637425729418,473.960932737932,1.80646581049433,325.370164233769,4.19744100464609,42.0710432868371
41,"DN14",2014,"sparse","32",32041,"RIL_150","null",10.2697455176485,128.294115314947,18.4072345339435,0.0348724089795152,303.14688319455,1.90527889441804,18.7910928001672,9.98658208615492,-12.4001431899203,41.6180170851468,6.35149240373462,2.26146190070062,4.08909712718034,7.64913180680661,14.3565941156292,1.31392630908566,0.153902273785667,312.264920653808,2.5162244367433,324.235073813141,7.6162832066551,49.4077675202833
42,"DN14",2014,"sparse","32",32042,"RIL_007","null",10.1422669310793,121.70571389229,22.1014788481957,0.0398370228402366,263.527680382196,2.03828029913448,19.9787011958806,9.84050032889975,-12.3225913947628,38.4693923252754,6.20007273261801,1.90096904472628,4.25550467255641,8.13239925937903,14.6421197935497,1.39641719809245,0.131086706674869,329.412448528756,2.63715035554642,291.080695526844,5.47863355439503,43.2375226164545
43,"DN14",2014,"sparse","32",32043,"RIL_076","null",12.0030812451545,159.412402640648,19.3540358583936,0.0487135869316937,249.742324081465,2.24979065284949,21.5198370968523,9.67880152384878,-12.644790160522,39.7783020238009,8.51131624825648,2.17325227486496,6.31315510986311,9.1235850127088,18.0707671895559,1.1396153048434,0.119465345631715,451.082934529051,2.64767643453844,402.419090104925,5.95219375626174,44.519495950472
44,"DN14",2014,"sparse","32",32044,"RIL_098","null",12.2005602860994,152.042594980912,20.4095985732199,0.0518042916107782,243.878985823938,2.10551549951834,20.2165543824001,9.63733039961846,-12.5162224995815,38.1413420048019,5.40837992013681,1.17610894026259,4.19479186273907,5.24136111831171,11.5595269705469,1.29293482272413,0.105861414704973,408.3536572681,2.27936938021543,325.012364081691,4.86834134027911,37.9631300964453
45,"DN14",2014,"sparse","32",32045,"RIL_058","null",15.9721426592001,163.348267641843,20.598379621028,0.0601047605863748,263.246860531963,2.03510291905265,19.9423909718066,9.85024346903121,-12.2088669793301,41.8479814678151,6.65169913718693,1.76070378111396,4.78611462340795,11.5306348156023,18.1699737377654,1.73562945897668,0.101817391451114,408.323470474982,1.59341616016141,321.680613622032,4.88778704557284,41.7562179541202
46,"DN14",2014,"sparse","32",32046,"RIL_142","null",14.0224870184361,149.966577096195,21.8522393981911,0.0558224165556247,253.839222602197,1.99379507002352,19.9991743967184,10.2289972030329,-12.3432079486675,37.975671052881,6.26194492846423,1.79659803262023,4.4199042286657,9.01011967953544,15.6544606061457,1.57761182751981,0.116768821532438,392.922635243124,2.54327117285421,333.013808777309,5.63182364870533,42.8046781762606
47,"DN14",2014,"sparse","32",32048,"RIL_205","null",10.6271420517579,123.589418921091,17.5731368107666,0.0404212005149889,272.30067549689,2.24121029881066,21.8818676150174,9.81901399940332,-12.5436651344373,38.466100741907,4.81480735265297,1.25762992799244,3.47711809815208,6.89730188455004,11.980840916073,1.51008348600244,0.110826578711676,337.598879933507,2.35992943549379,289.020133953504,5.46577177008553,38.8471486663788
48,"DN14",2014,"sparse","32",32049,"RIL_052","null",11.3243570087687,127.908259862785,16.9954587830295,0.0418918504045354,278.122929195212,1.99516956246237,19.6901484422901,9.98025474699751,-12.3485454541454,38.9260295072435,7.2117500381721,2.04109471457766,5.21193511262971,10.8337425550801,18.1259016217931,1.54620556611372,0.109471720955053,446.346913015367,2.21289538051723,335.53501394663,5.22992686494959,48.2483246400635
49,"DN14",2014,"sparse","32",32050,"RIL_162","null",10.8401299616409,136.107652817275,17.5994659990877,0.0524320298578415,214.448614435847,2.22603399942149,21.4879080277646,9.64488126521356,-12.7049704147553,35.3174759820355,3.88773519412316,1.09401908543387,2.65255490786384,1.11827159221659,5.83508997066587,0.53517850315854,0.214346065848664,226.953814623189,2.59230222744081,238.997004383881,5.73000986307211,38.0374961919141
50,"DN14",2014,"sparse","32",32051,"RIL_117","null",15.1118418812651,161.971766796535,23.6429206518578,0.0612880441579508,262.946376834417,2.1337602809958,21.1300315997205,9.99806989372526,-12.6012900612383,39.3183732584644,5.85915459850539,1.62561413734041,4.44547976711688,10.1157538102496,15.5987323717703,1.71606308933589,0.107220642365307,339.068752114808,2.48629889536225,320.446511603185,6.73934760586128,45.1197141246551
51,"DN14",2014,"sparse","32",32052,"RIL_104","null",13.7405952926474,159.894750069474,16.9112151964523,0.054591076371114,259.200353286208,1.9353792271592,20.1494295068618,10.9273507787027,-12.4685086337155,41.7095198562154,8.80414376647052,2.77367704531989,6.27769245119604,11.4994444079225,20.2045453354412,1.38937423933047,0.132542995587558,506.413596141657,1.64004524955213,391.812736591111,5.18110951757727,49.7439825936876
52,"DN14",2014,"sparse","32",32053,"RIL_005","null",8.62269728610561,103.881758129864,16.7710314239604,0.0302677316257483,295.703356565487,2.05223591634315,19.9944278839924,9.76326545407039,-12.3727463314546,40.0725598372165,4.8181363212437,1.46240647280244,3.00036246686959,6.6562921571606,13.0763157932716,1.75271860765116,0.116640357982643,227.010156839114,2.45070007380241,262.25256487965,7.59083634143445,46.5272923563459
53,"DN14",2014,"sparse","32",32054,"RIL_184","null",13.7302566872224,155.53275167936,20.7146496210158,0.0533465246345131,258.745023185374,2.00150001143229,19.8921360590077,10.1719588546887,-12.3425753877257,37.904794455397,7.098025571947,2.47410713426258,4.6330369799504,11.3788559096543,18.6527443553342,1.70648902667072,0.129317630925985,363.180051100693,2.3882046695871,332.503482859627,7.29856901406704,47.7202997058097
54,"DN14",2014,"sparse","32",32055,"RIL_110","null",10.3533960127431,125.376588286966,18.5565566249355,0.0456831524854529,232.270926484203,2.10904678210465,20.9611600147158,10.0218674978125,-12.4963548046086,37.4176563497393,7.56119624580151,1.78263620551098,5.93935141941467,4.99537188602675,13.3368869570792,0.787271151212781,0.135991603389105,414.324862810292,2.24236361897407,345.983855128577,7.57670387809094,48.6157855015582
55,"DN14",2014,"sparse","32",32056,"B100","null",20.0220574294585,172.818909905536,22.2219926973301,0.0804979518653115,260.308605273219,2.13114910231787,20.313153731187,9.72767320936155,-12.3654869041533,41.8993502817264,12.5655816230477,4.04141329247511,8.53054268772993,13.8982557131216,26.5147765264944,1.11037112421163,0.152724104765408,547.573408857947,1.74491350957754,468.906633540463,4.81233661558484,63.400287555219
56,"DN14",2014,"sparse","32",32057,"RIL_055","null",11.9765190110798,149.279816048532,16.9927905644371,0.0496648528187106,248.325020134584,2.16472985122111,20.7769855361336,9.6477682649375,-12.5233890073285,38.2699288662966,7.03241047773912,1.8222476602373,5.14736394163318,12.3388843735214,19.0304122043593,1.71327608071404,0.0994661936536845,488.633085665784,1.98173289242762,366.529909946162,4.24113882201342,43.8819437303814
57,"DN14",2014,"sparse","32",32058,"RIL_171","null",10.1897615197134,123.987510510186,18.3788356545306,0.0360204003345503,302.01459169623,2.00637969491439,19.2957436113465,9.6406302385324,-12.4730888147832,39.8425954545482,7.79952516682345,2.48349117641758,5.00010388110072,12.4260220820704,21.2754141602596,1.79685847000109,0.119098843231276,306.964485299708,2.65039758561575,296.682680893726,6.9848673663474,48.3614378343697
58,"DN14",2014,"sparse","32",32059,"RIL_201","null",18.5375779891027,200.830478453702,19.5265503291961,0.0757305220799693,246.00642271716,1.93000919140877,19.5492445819306,10.4681210293328,-12.3796033458235,40.6305745403582,11.7722108879969,2.9828394171659,8.67630209118478,19.6309509928415,30.7294950847963,1.57019307716014,0.0979005204860861,613.690452009527,2.03159092757113,525.88893552937,6.33792333257359,48.4155911870353
59,"DN14",2014,"sparse","32",32060,"RIL_112","null",12.0692990061563,154.603338023286,18.1209176891123,0.0456125336685815,279.6909679803,2.08436615471786,21.2114560827109,10.4205258211582,-12.5360626469681,37.3162788285658,8.27570753363744,2.54651710579452,5.51383892664931,11.3902429588945,20.3331712701317,1.4926641639868,0.124007157711177,443.815344447402,2.34755834289717,367.226245731117,6.78955779980865,47.0366973156442
60,"DN14",2014,"sparse","32",32061,"RIL_187","null",14.0799304669611,149.243879081626,20.3312679032701,0.0547456833057888,262.042023470068,2.02224976214488,20.4478828742704,10.3901285392431,-12.3664495977965,39.2507882443487,7.39077608316989,2.07151791344198,5.66131335771545,13.7133978286386,19.1673531207891,1.65370155959281,0.109889816451749,406.028621906371,2.08677889176351,384.023043003712,6.44283250417655,49.6559467358043
61,"DN14",2014,"sparse","32",32062,"RIL_164","null",10.428781643708,138.349892888831,19.2730341248093,0.0467755733200758,238.95574183252,2.12047322078857,20.8383717775034,9.88482813562052,-12.5290502570789,36.6296772639294,3.73038664609239,0.889031833584354,2.76770269364476,5.53223350634509,9.92563467277186,1.45046018025176,0.108414997109323,357.404605847897,2.15322662168332,297.286041483853,4.28057258505439,38.1686609445758
62,"DN14",2014,"sparse","32",32063,"RIL_094","null",19.3410372309048,187.027150317459,21.5053532967999,0.0754879519658683,254.996219911941,2.04867873976163,20.4622891509434,10.1376966388522,-12.5063734593515,38.8889454168174,10.7609718921124,3.18090867488198,7.26916176360693,18.4133675806485,28.4891690869246,1.54744429212755,0.119007376097748,554.903646801904,1.27520702674217,453.789595670713,5.19438676551749,51.1138553566225
63,"DN14",2014,"sparse","32",32064,"RIL_141","null",10.7422530366095,145.810925323348,17.1055135790443,0.0495618594435262,221.195977597956,2.29984807316032,21.7098089597695,9.40807954991408,-12.7586474768717,36.9577275844028,4.63339679147783,0.916236946809491,3.58665512278412,5.69261131136719,10.6474291495854,1.25717113241822,0.0962864626379746,397.408999560403,2.3261341969026,334.688496278272,5.93088589451899,36.9217946086583
64,"DN14",2014,"sparse","32",32065,"RIL_069","null",9.93671272351257,129.110629745064,17.8831105871938,0.0388939377488017,271.534198816994,2.07234376919932,20.2295018958726,9.77971898812469,-12.4279134630306,40.2382307891373,8.5006370765513,2.14919208062912,6.24647650085236,13.8018715367186,22.1889490318376,1.60059084313437,0.0998758613119671,437.839545477487,2.72937068473017,387.604028470164,6.80998117911485,42.6991286318312
65,"DN14",2014,"sparse","32",32066,"RIL_067","null",11.5244887962674,142.74789885882,18.3524644317724,0.0468311928611941,253.821798942099,2.04325347792145,20.5248452467382,10.2871335930688,-12.4235986156624,39.5483376411326,8.59729516135189,2.25168094279025,6.2670380787931,10.3978253098443,19.2938725165696,1.23684034274617,0.117870410104989,480.464052452157,2.45126908013436,394.825578787472,6.32918712265273,45.7557431217468
66,"DN14",2014,"sparse","32",32067,"RIL_127","null",17.8026755431976,163.168152584789,24.2971914769061,0.0731866451915838,242.830153815995,2.14199244433327,20.6569342038298,9.69977488290574,-12.4979485746203,39.744509516743,8.76073676058696,2.38044183269965,6.35492439611347,14.6091584597265,23.2082113763474,1.66248989363862,0.102579425865847,409.525592777695,2.11052784772928,375.683072755267,5.95184605848074,49.2534888102192
67,"DN14",2014,"sparse","32",32068,"RIL_030","null",13.3876541870005,146.251899534097,20.429026955874,0.053324010129751,255.113764986125,2.10439980066316,20.5230037795947,9.79249487446476,-12.4701360525021,40.1368532679638,6.70534154505244,1.9152101998678,4.62269485431988,5.04791748064111,12.4805966964841,0.842752922009928,0.165074493612062,364.787177075255,2.09752363082684,306.829301511093,6.6801911455826,42.3203619623489
68,"DN14",2014,"sparse","32",32069,"B100","null",20.0220574294585,172.818909905536,22.2219926973301,0.0804979518653115,260.308605273219,2.13114910231787,20.313153731187,9.72767320936155,-12.3654869041533,41.8993502817264,12.5655816230477,4.04141329247511,8.53054268772993,13.8982557131216,26.5147765264944,1.11037112421163,0.152724104765408,547.573408857947,1.74491350957754,468.906633540463,4.81233661558484,63.400287555219
69,"DN14",2014,"sparse","32",32070,"RIL_091","null",11.8516074899325,139.129424890236,18.5677573264211,0.0493353688161992,249.539261559427,2.0417243835551,20.4058162538559,10.1899894334689,-12.4761299893889,38.3680148041018,5.19664420973878,1.32222612289509,3.74331994519936,6.801670553337,12.6499468720512,1.54080942792745,0.116736425738027,271.14319899118,2.51599730184708,304.524130838846,6.26219700383365,44.3776585001524
70,"DN14",2014,"sparse","32",32071,"B100","null",20.0220574294585,172.818909905536,22.2219926973301,0.0804979518653115,260.308605273219,2.13114910231787,20.313153731187,9.72767320936155,-12.3654869041533,41.8993502817264,12.5655816230477,4.04141329247511,8.53054268772993,13.8982557131216,26.5147765264944,1.11037112421163,0.152724104765408,547.573408857947,1.74491350957754,468.906633540463,4.81233661558484,63.400287555219
71,"DN14",2014,"sparse","32",32072,"RIL_078","null",13.7197872993527,146.195442196973,19.1697949563249,0.0540134071853015,255.50261730041,2.06290103328701,20.0780405774855,9.79249487446476,-12.383403282165,36.7277632017346,4.90353815891446,1.37231036794666,3.42574514908098,9.69012129515763,14.6781675993314,2.03196892134668,0.100201678249166,329.395777151505,2.02956098619761,290.211759649795,5.25931348994237,41.6264619825225
72,"DN14",2014,"sparse","32",32073,"RIL_093","null",10.981494026238,133.805033494369,22.1731486771084,0.0408400384689635,287.632871880204,1.91901791111936,18.8493064264284,9.91677756472161,-12.5644488137278,37.3162788285658,6.69012298553302,2.16608868596384,4.62750160238764,10.8034275006126,17.8304926510164,1.83942805978593,0.116128888600153,347.057853330173,2.31076304186354,317.193659923128,8.97246286353536,48.0492293181581
73,"DN14",2014,"sparse","32",32074,"RIL_018","null",14.7796179616015,154.331610283543,18.6053569114289,0.0604470016502154,245.886639974898,2.08649143064147,20.5772512084113,10.0154909577908,-12.567041262712,41.584224578089,8.06796315275184,2.53249492344015,5.59157497523975,10.9484701007324,19.268543497255,1.44518338686989,0.126440921003347,406.652963547856,2.32903332774396,368.525154495948,5.9759303069579,48.7014336248041
