"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","trait","data","trait_old"
2014,"density","JGI","rain_fed",36,198,205,"RIL_015","low_density",32,32171,3,"stem_mass_per_plant",1.31,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_015","low_density",32,32171,3,"stem_mass_per_m2",47.24,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_016","low_density",32,32031,3,"leaf_mass_per_plant",3.23,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_016","low_density",32,32031,3,"leaf_mass_per_m2",116.42,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_016","low_density",32,32031,3,"panicle_mass_per_plant",16.66,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_016","low_density",32,32031,3,"panicle_mass_per_m2",599.72,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_016","low_density",32,32031,3,"stem_mass_per_plant",7.79,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_016","low_density",32,32031,3,"stem_mass_per_m2",280.57,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_017","low_density",32,32024,3,"leaf_mass_per_plant",3.77,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_017","low_density",32,32024,3,"leaf_mass_per_m2",135.89,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_017","low_density",32,32024,3,"panicle_mass_per_plant",13.68,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_017","low_density",32,32024,3,"panicle_mass_per_m2",492.54,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_017","low_density",32,32024,3,"stem_mass_per_plant",10.92,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_017","low_density",32,32024,3,"stem_mass_per_m2",392.98,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_018","low_density",32,32074,3,"leaf_mass_per_plant",3.30,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_018","low_density",32,32074,3,"leaf_mass_per_m2",118.91,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_018","low_density",32,32074,3,"panicle_mass_per_plant",15.20,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_018","low_density",32,32074,3,"panicle_mass_per_m2",547.17,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_018","low_density",32,32074,3,"stem_mass_per_plant",7.24,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_018","low_density",32,32074,3,"stem_mass_per_m2",260.58,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_019","low_density",32,32130,3,"leaf_mass_per_plant",1.69,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_019","low_density",32,32130,3,"leaf_mass_per_m2",60.92,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_019","low_density",32,32130,3,"panicle_mass_per_plant",11.24,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_019","low_density",32,32130,3,"panicle_mass_per_m2",404.72,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_019","low_density",32,32130,3,"stem_mass_per_plant",5.29,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_019","low_density",32,32130,3,"stem_mass_per_m2",190.26,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_020","low_density",32,32108,3,"leaf_mass_per_plant",4.17,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_020","low_density",32,32108,3,"leaf_mass_per_m2",150.23,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_020","low_density",32,32108,3,"panicle_mass_per_plant",22.63,"panicle_mass_per_pl"
2014,"density","JGI","rain_fed",36,198,205,"RIL_020","low_density",32,32108,3,"panicle_mass_per_m2",814.58,"panicle_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_020","low_density",32,32108,3,"stem_mass_per_plant",13.45,"stem_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_020","low_density",32,32108,3,"stem_mass_per_m2",484.14,"stem_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_022","low_density",32,32001,3,"leaf_mass_per_plant",1.97,"leaf_mass_per_plant"
2014,"density","JGI","rain_fed",36,198,205,"RIL_022","low_density",32,32001,3,"leaf_mass_per_m2",70.95,"leaf_mass_per_m2"
2014,"density","JGI","rain_fed",36,198,205,"RIL_022","low_density",32,32001,3,"panicle_mass_per_plant",10.64,"panicle_mass_per_pl"
