"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","number_plants_harvested","trait","rep","flag","data"
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"basal_circumference",2,".",31.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"basal_circumference",3,".",27.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"branch_number_per_plant",1,".",6.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"branch_number_per_plant",2,".",0.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"branch_number_per_plant",3,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"culm_height",1,".","."
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"culm_height",2,".",455.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"culm_height",3,".",420.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"second_tiller_height",1,".",335.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"second_tiller_height",2,".",342.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"second_tiller_height",3,".",173.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"tiller_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"tiller_number_per_plant",2,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_183","high_density",31,31007,41910,2,"tiller_number_per_plant",3,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"basal_circumference",1,".",19.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"basal_circumference",2,".",20.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"basal_circumference",3,".",27.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"branch_number_per_plant",1,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"branch_number_per_plant",2,".",1.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"branch_number_per_plant",3,".",5.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"culm_height",1,".",249.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"culm_height",2,".",237.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"culm_height",3,".",155.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"second_tiller_height",1,".",155.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"second_tiller_height",2,".",186.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"second_tiller_height",3,".",170.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"tiller_number_per_plant",1,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"tiller_number_per_plant",2,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_046","high_density",31,31009,41910,3,"tiller_number_per_plant",3,".",3.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"basal_circumference",1,".",21.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"basal_circumference",2,".",25.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"basal_circumference",3,".",19.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"branch_number_per_plant",1,".",8.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"branch_number_per_plant",2,".",8.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"branch_number_per_plant",3,".",6.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"culm_height",1,".",282.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"culm_height",2,".",350.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"culm_height",3,".",333.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"second_tiller_height",1,".",223.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"second_tiller_height",2,".",148.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"second_tiller_height",3,".","."
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"tiller_number_per_plant",1,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"tiller_number_per_plant",2,".",2.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_039","high_density",31,31010,41910,3,"tiller_number_per_plant",3,".",1.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"basal_circumference",1,".",22.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"basal_circumference",2,".",22.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"basal_circumference",3,".",23.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"branch_number_per_plant",1,".",7.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"branch_number_per_plant",2,".",7.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"branch_number_per_plant",3,".",5.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"culm_height",1,".",439.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"culm_height",2,".",377.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"culm_height",3,".",468.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"second_tiller_height",1,".",415.000
2014,"density","JGI","rain_fed",400,198,205,"RIL_123","high_density",31,31011,41910,3,"second_tiller_height",2,".",149.000
