"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","number_plants_harvested","date","DOY","subsample_num","trait","flag","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"tiller_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"leaf_number_per_plant_sqrt",".",6.164
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,2,"panicle_number_per_plant_sqrt",".",3.873
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"Panicle_number_per_plant",".",8.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"leaf_number_per_plant",".",27.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"culm_height",".",358.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"second_tiller_height",".",320.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"Panicle_Length",".","."
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"tiller_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"branch_number_per_plant",".",2.000
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"branch_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"tiller_number_per_plant_sqrt",".",1.414
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"leaf_number_per_plant_sqrt",".",5.196
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,3,"panicle_number_per_plant_sqrt",".",2.828
2013,"density","JGI","rain_fed",400,123,134,"RIL_212","high_density",31,31003,4,"07/29/2013",210,4,"Panicle_number_per_plant",".",32.000
