"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","treatment_start","genotype","treatment","plot","subplot_ID","DOY","trait","subsample_num","flag","data"
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"second_tiller_height",4,".",198.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant",4,".",2.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"leaf_number_per_plant",4,".",26.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"panicle_number_per_plant",4,".",2.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"tiller_number_per_plant_sqrt",4,".",1.41
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_118","wet",15,15005,280,"branch_number_per_plant_sqrt",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"culm_height",1,".",598.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"second_tiller_height",1,".",495.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant",1,".",2.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant",1,".",5.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"leaf_number_per_plant",1,".",31.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"panicle_number_per_plant",1,".",10.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant_sqrt",1,".",1.41
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant_sqrt",1,".",2.24
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"culm_height",2,".",662.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"second_tiller_height",2,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant",2,".",2.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"leaf_number_per_plant",2,".",21.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"panicle_number_per_plant",2,".",6.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant_sqrt",2,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant_sqrt",2,".",1.41
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"culm_height",3,".",573.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"second_tiller_height",3,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant",3,".",3.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"leaf_number_per_plant",3,".",21.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"panicle_number_per_plant",3,".",8.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant_sqrt",3,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant_sqrt",3,".",1.73
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"culm_height",4,".",547.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"second_tiller_height",4,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant",4,".",5.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"leaf_number_per_plant",4,".",29.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"panicle_number_per_plant",4,".",11.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"tiller_number_per_plant_sqrt",4,".",1.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_185","wet",15,15006,280,"branch_number_per_plant_sqrt",4,".",2.24
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"culm_height",1,".",523.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"second_tiller_height",1,".",278.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant",1,".",4.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"branch_number_per_plant",1,".","."
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"leaf_number_per_plant",1,".",37.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"panicle_number_per_plant",1,".",4.00
2013,"drought","JGI","irrigated",400,188,197,205,"RIL_200","wet",15,15007,280,"tiller_number_per_plant_sqrt",1,".",2.00
