"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","date","DOY","trait","measurement_number","rep","flag","data"
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,41883.00,244,"Height",2,1,".",23.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,41883.00,244,"Height",2,2,".",24.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32110,41883.00,244,"Height",2,3,".",21.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32126,41883.00,244,"Height",2,1,".",13.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32126,41883.00,244,"Height",2,2,".",24.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32126,41883.00,244,"Height",2,3,".",11.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,41883.00,244,"Height",2,1,".",16.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,41883.00,244,"Height",2,2,".",21.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32144,41883.00,244,"Height",2,3,".",20.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32156,41884.00,245,"Height",2,1,".",13.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32156,41884.00,245,"Height",2,2,".",14.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32156,41884.00,245,"Height",2,3,".",13.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32179,41884.00,245,"Height",2,1,".",15.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32179,41884.00,245,"Height",2,2,".",10.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32179,41884.00,245,"Height",2,3,".",9.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,41884.00,245,"Height",2,1,".",18.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,41884.00,245,"Height",2,2,".",12.0
2014,"density","JGI","rain_fed",36,198,205,"A10","low_density",32,32187,41884.00,245,"Height",2,3,".",12.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41862.00,223,"Height",1,1,".",13.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41862.00,223,"Height",1,2,".",11.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33005,41862.00,223,"Height",1,3,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41862.00,223,"Height",1,1,".",4.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41862.00,223,"Height",1,2,".",9.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33015,41862.00,223,"Height",1,3,".",12.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33030,41862.00,223,"Height",1,1,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33030,41862.00,223,"Height",1,2,".",7.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33030,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41862.00,223,"Height",1,1,".",13.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41862.00,223,"Height",1,2,".",5.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33038,41862.00,223,"Height",1,3,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41862.00,223,"Height",1,1,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41862.00,223,"Height",1,2,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33044,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33099,41862.00,223,"Height",1,1,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33099,41862.00,223,"Height",1,2,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33099,41862.00,223,"Height",1,3,".",8.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33103,41862.00,223,"Height",1,1,".",5.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33103,41862.00,223,"Height",1,2,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33103,41862.00,223,"Height",1,3,".",6.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33112,41862.00,223,"Height",1,1,".",10.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33112,41862.00,223,"Height",1,2,".",14.0
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",33,33112,41862.00,223,"Height",1,3,".",9.0
