"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","trait","emergence_DOY","emergence_DAS"
2014,"density","JGI","rain_fed",400,198,205,"RIL_168","high_density",31,31128,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_200","high_density",31,31129,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_019","high_density",31,31130,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_113","high_density",31,31131,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"RIL_128","high_density",31,31132,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_193","high_density",31,31133,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_161","high_density",31,31134,"panicle_emergence",239,41
2014,"density","JGI","rain_fed",400,198,205,"RIL_066","high_density",31,31135,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_196","high_density",31,31136,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"BLANK","high_density",31,31137,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_116","high_density",31,31138,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_006","high_density",31,31139,"panicle_emergence",238,40
2014,"density","JGI","rain_fed",400,198,205,"RIL_070","high_density",31,31140,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_092","high_density",31,31141,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_106","high_density",31,31142,"panicle_emergence",237,39
2014,"density","JGI","rain_fed",400,198,205,"RIL_075","high_density",31,31143,"panicle_emergence",230,32
2014,"density","JGI","rain_fed",400,198,205,"A10","high_density",31,31144,"panicle_emergence",227,29
2014,"density","JGI","rain_fed",400,198,205,"RIL_159","high_density",31,31145,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_180","high_density",31,31146,"panicle_emergence",236,38
2014,"density","JGI","rain_fed",400,198,205,"RIL_210","high_density",31,31147,"panicle_emergence",237,39
