"year","experiment","population","water","plants_per_m2","sowing_doy","transplanting_doy","genotype","treatment","plot","subplot_ID","DOY","subsample_num","trait","data"
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,3,"leaf_number_per_plant",40
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"leaf_number_per_plant",23
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,1,"Panicle_Length",57
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,1,"Panicle_number_per_plant",15
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,2,"Panicle_number_per_plant",13
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,3,"Panicle_number_per_plant",32
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"Panicle_number_per_plant",19
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,1,"second_tiller_height",189
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,2,"second_tiller_height",NA
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,3,"second_tiller_height",83
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"second_tiller_height",132
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,1,"tiller_number_per_plant",5
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,2,"tiller_number_per_plant",1
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,3,"tiller_number_per_plant",6
2013,"density","JGI","rain_fed",400,123,134,"RIL_126","high_density",31,31005,210,4,"tiller_number_per_plant",2
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,1,"branch_number_per_plant",16
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,2,"branch_number_per_plant",16
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,3,"branch_number_per_plant",6
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"branch_number_per_plant",23
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,1,"culm_height",252
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,2,"culm_height",223
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,3,"culm_height",158
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"culm_height",161
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,1,"leaf_number_per_plant",51
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,2,"leaf_number_per_plant",23
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,3,"leaf_number_per_plant",36
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"leaf_number_per_plant",74
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,1,"Panicle_Length",36
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,2,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,3,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"Panicle_Length",NA
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,1,"Panicle_number_per_plant",43
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,2,"Panicle_number_per_plant",15
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,3,"Panicle_number_per_plant",28
2013,"density","JGI","rain_fed",400,123,134,"A10","high_density",31,31006,210,4,"Panicle_number_per_plant",66
